Taxon_Name	Rank	Rank_Name	Rank_Priority	NCBI_TaxID	Confidence	Priority	Description	In_Both	In_RVDB	In_NCBI	RVDB_Reads_Direct	RVDB_Reads_Total	RVDB_Percent	NCBI_Reads_Direct	NCBI_Reads_Total	NCBI_Percent	Max_Direct_Reads	Max_Percent	Avg_Percent
Bovine rhinitis A virus	S1	Subspecies	9	1155188	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	195	195	0.01	0	0	0.0	195	0.01	0.01
African swine fever virus	S1	Subspecies	9	10497	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	194	194	0.01	0	0	0.0	194	0.01	0.01
Human immunodeficiency virus 1	S1	Subspecies	9	11676	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	151	155	0.01	0	0	0.0	151	0.01	0.01
Escherichia phage RCS47	S1	Subspecies	9	1590550	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	121	121	0.0	121	0.0	0.0
unclassified Leviviricetes	C1	C1	99	2852991	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2958	204369	8.0	0	0	0.0	2958	8.0	8.0
Human rotavirus A	S2	S2	99	10941	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	2433	2433	0.1	0	0	0.0	2433	0.1	0.1
Riboviria	R2	R2	99	2559587	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1856	1709250	66.94	0	0	0.0	1856	66.94	66.94
unclassified Birnaviridae	F1	F1	99	41995	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1844	54189	2.12	0	0	0.0	1844	2.12	2.12
Human alphaherpesvirus 1 strain RH2	S2	S2	99	946522	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	1611	1611	0.06	0	0	0.0	1611	0.06	0.06
unclassified Amabiliviricetes	C1	C1	99	2788836	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	621	207396	8.12	0	0	0.0	621	8.12	8.12
unclassified Mitoviridae	F1	F1	99	2788892	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	417	97284	3.81	0	0	0.0	417	3.81	3.81
Porcine rotavirus A	S2	S2	99	10967	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	404	407	0.02	0	0	0.0	404	0.02	0.02
Escherichia phage DE3	S2	S2	99	482822	Medium	3	NCBIOnly-HighReads(≥100)	No	No	Yes	0	0	0.0	333	333	0.01	333	0.01	0.01
root	R	R	99	1	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	332	1838477	72.0	0	0	0.0	332	72.0	72.0
unclassified Peribunyaviridae	F1	F1	99	39718	Medium	3	RVDBOnly-HighReads(≥100)	No	Yes	No	171	171	0.01	0	0	0.0	171	0.01	0.01
Amabiliviricetes	C	Class	4	2732498	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	70	226455	8.87	0	0	0.0	70	8.87	8.87
Paramyxoviridae	F	Family	6	11158	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	63	4568	0.18	0	0	0.0	63	0.18	0.18
Chrocurosk virus	S	Species	8	3129322	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	91	91	0.0	0	0	0.0	91	0.0	0.0
Qianjiang levi-like virus 25	S	Species	8	3348433	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	88	88	0.0	0	0	0.0	88	0.0	0.0
Ripafrof virus	S	Species	8	3130610	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	87	87	0.0	0	0	0.0	87	0.0	0.0
Ripables virus	S	Species	8	3130211	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	87	87	0.0	0	0	0.0	87	0.0	0.0
Ripastys virus	S	Species	8	3131367	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	87	87	0.0	0	0	0.0	87	0.0	0.0
Ripajosc virus	S	Species	8	3130000	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	83	83	0.0	0	0	0.0	83	0.0	0.0
Riponysc virus	S	Species	8	3130951	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	79	79	0.0	0	0	0.0	79	0.0	0.0
Sopawol virus	S	Species	8	3131668	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	68	68	0.0	0	0	0.0	68	0.0	0.0
Narnaviridae sp. gcode 4	S	Species	8	2930535	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	68	68	0.0	0	0	0.0	68	0.0	0.0
Hainan mito-like virus 18	S	Species	8	2937081	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	67	67	0.0	0	0	0.0	67	0.0	0.0
Sonazoj virus	S	Species	8	3131543	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	60	60	0.0	0	0	0.0	60	0.0	0.0
Ripagruv virus	S	Species	8	3130741	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	56	56	0.0	0	0	0.0	56	0.0	0.0
Ripazac virus	S	Species	8	3131421	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	56	56	0.0	0	0	0.0	56	0.0	0.0
Sonahax virus	S	Species	8	3131568	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	55	55	0.0	0	0	0.0	55	0.0	0.0
Ripamap virus	S	Species	8	3130916	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	53	53	0.0	0	0	0.0	53	0.0	0.0
Mute swan feces associated narna-like virus 3	S	Species	8	2832217	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	52	52	0.0	0	0	0.0	52	0.0	0.0
Human mastadenovirus A	S1	Subspecies	9	129875	Low-Medium	4	NCBIOnly-MediumReads(50-99)	No	No	Yes	0	0	0.0	92	92	0.0	92	0.0	0.0
Mycobacterium phage Pharaoh	S1	Subspecies	9	2530140	Low-Medium	4	NCBIOnly-MediumReads(50-99)	No	No	Yes	0	0	0.0	65	65	0.0	65	0.0	0.0
Mycobacterium phage Bernal13	S1	Subspecies	9	1486424	Low-Medium	4	NCBIOnly-MediumReads(50-99)	No	No	Yes	0	0	0.0	61	61	0.0	61	0.0	0.0
Equid alphaherpesvirus 1	S1	Subspecies	9	10326	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	53	53	0.0	0	0	0.0	53	0.0	0.0
Salmonella phage SJ46	S1	Subspecies	9	1815968	Low-Medium	4	NCBIOnly-MediumReads(50-99)	No	No	Yes	0	0	0.0	53	53	0.0	53	0.0	0.0
Synechococcus phage S-SZBM1	S1	Subspecies	9	2926475	Low-Medium	4	NCBIOnly-MediumReads(50-99)	No	No	Yes	0	0	0.0	51	51	0.0	51	0.0	0.0
Bovine rotavirus A	S2	S2	99	35333	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	82	107	0.0	0	0	0.0	82	0.0	0.0
Human adenovirus 12	S2	S2	99	28282	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	77	77	0.0	0	0	0.0	77	0.0	0.0
Human astrovirus 5	S2	S2	99	35741	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	73	73	0.0	0	0	0.0	73	0.0	0.0
Small ruminant lentivirus	S2	S2	99	254355	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	53	53	0.0	0	0	0.0	53	0.0	0.0
Human adenovirus 41	S2	S2	99	10524	Low-Medium	4	RVDBOnly-MediumReads(50-99)	No	Yes	No	53	53	0.0	0	0	0.0	53	0.0	0.0
Cressdnaviricota	P	Phylum	3	2732416	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	49	0.0	0	0	0.0	1	0.0	0.0
Negarnaviricota	P	Phylum	3	2497569	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	12113	0.47	0	0	0.0	1	0.47	0.47
Pisoniviricetes	C	Class	4	2732506	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	41	33159	1.3	0	0	0.0	41	1.3	1.3
Durnavirales	O	Order	5	2732549	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	31	642954	25.18	0	0	0.0	31	25.18	25.18
Reovirales	O	Order	5	2732541	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	3	99605	3.9	0	0	0.0	3	3.9	3.9
Nodamuvirales	O	Order	5	2732546	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	16299	0.64	0	0	0.0	1	0.64	0.64
Imitervirales	O	Order	5	2732554	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	75	0.0	0	0	0.0	1	0.0	0.0
Orthoherpesviridae	F	Family	6	3044472	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	28	24273	0.95	0	0	0.0	28	0.95	0.95
Astroviridae	F	Family	6	39733	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	17	52228	2.05	3	1143	0.04	17	2.05	1.045
Kyanoviridae	F	Family	6	2946160	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	12	63	0.0	12	0.0	0.0
Solemoviridae	F	Family	6	2169577	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	8	12691	0.5	0	0	0.0	8	0.5	0.5
Petromyzontidae	F	Family	6	7746	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	3	3	0.0	0	0	0.0	3	0.0	0.0
Potyviridae	F	Family	6	39729	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	7	0.0	0	0	0.0	1	0.0	0.0
Mimiviridae	F	Family	6	549779	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	16	0.0	1	0.0	0.0
Caliciviridae	F	Family	6	11974	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	2142	0.08	0	0	0.0	1	0.08	0.08
Baculoviridae	F	Family	6	10442	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	66296	2.6	0	0	0.0	1	2.6	2.6
Suoliviridae	F	Family	6	2942966	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	15	0.0	1	0.0	0.0
Straboviridae	F	Family	6	2946170	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	22	0.0	1	0.0	0.0
Dependoparvovirus	G	Genus	7	10803	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	44	108	0.0	0	0	0.0	44	0.0	0.0
Traversvirus	G	Genus	7	1981157	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	42	74	0.0	42	0.0	0.0
Pandoravirus	G	Genus	7	2060084	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	33	44	0.0	31	45	0.0	33	0.0	0.0
Tsamsavirus	G	Genus	7	3044849	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	29	29	0.0	29	0.0	0.0
Mastadenovirus	G	Genus	7	10509	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	12	307	0.01	21	469	0.02	21	0.02	0.015
Cimandefvirus	G	Genus	7	2843366	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	21	25	0.0	21	0.0	0.0
Orthopicobirnavirus	G	Genus	7	2948851	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	19	13585	0.53	0	0	0.0	19	0.53	0.53
Lambdavirus	G	Genus	7	186765	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	12	345	0.01	12	0.01	0.01
Mamastrovirus	G	Genus	7	249588	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	39522	1.55	0	0	0.0	12	1.55	1.55
Zewailvirus	G	Genus	7	3152914	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	11	11	0.0	11	0.0	0.0
Kobuvirus	G	Genus	7	194960	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	10	1480	0.06	2	237	0.01	10	0.06	0.034999999999999996
Cyamitesvirus	G	Genus	7	3044697	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	10	10	0.0	10	0.0	0.0
Yuavirus	G	Genus	7	1299429	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	8	19	0.0	8	0.0	0.0
Attisvirus	G	Genus	7	2169652	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	5	6	0.0	5	0.0	0.0
Varicellovirus	G	Genus	7	10319	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	2	21175	0.83	5	19	0.0	5	0.83	0.415
Torbevirus	G	Genus	7	2732653	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	4	4	0.0	0	0	0.0	4	0.0	0.0
Barbavirus	G	Genus	7	2733095	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	3	0.0	3	0.0	0.0
Plateaulakevirus	G	Genus	7	2843436	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	6	0.0	3	0.0	0.0
Torovirus	G	Genus	7	11155	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	3	32	0.0	0	0	0.0	3	0.0	0.0
Carjivirus	G	Genus	7	2948652	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	83	0.0	3	0.0	0.0
Mimivirus	G	Genus	7	315393	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	3	0.0	3	0.0	0.0
Pipefishvirus	G	Genus	7	1982899	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	3	0.0	3	0.0	0.0
Septimatrevirus	G	Genus	7	1921544	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	3	0.0	3	0.0	0.0
Punavirus	G	Genus	7	186789	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	3	1465	0.06	3	0.06	0.06
Cepunavirus	G	Genus	7	1982583	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	2	0.0	2	0.0	0.0
Benedictvirus	G	Genus	7	2946819	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	2	0.0	2	0.0	0.0
Myrnavirus	G	Genus	7	2948833	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	12	0.0	2	0.0	0.0
Lightbulbvirus	G	Genus	7	1918522	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	2	0.0	2	0.0	0.0
Lahexavirus	G	Genus	7	2843411	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	26	0.0	2	0.0	0.0
Beograduvirus	G	Genus	7	2946820	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	2	2	0.0	2	0.0	0.0
Epseptimavirus	G	Genus	7	2732017	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Phayathaivirus	G	Genus	7	3153015	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Menderavirus	G	Genus	7	2843421	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Tulanevirus	G	Genus	7	2560244	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Lillamyvirus	G	Genus	7	2843418	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Fukuivirus	G	Genus	7	2843384	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Bronvirus	G	Genus	7	1623278	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Sugarlandvirus	G	Genus	7	2560233	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	7	0.0	1	0.0	0.0
Cervidpoxvirus	G	Genus	7	573055	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	1	0.0	0	0	0.0	1	0.0	0.0
Kratiovirus	G	Genus	7	2948788	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Bixzunavirus	G	Genus	7	680114	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	6	0.0	1	0.0	0.0
Tobamovirus	G	Genus	7	12234	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	9007	0.35	0	0	0.0	1	0.35	0.35
Schiekvirus	G	Genus	7	2732968	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Chlorovirus	G	Genus	7	181083	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	4	0.0	0	0	0.0	1	0.0	0.0
Molluscipoxvirus	G	Genus	7	10278	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	7	0.0	0	0	0.0	1	0.0	0.0
Shenzhenvirus	G	Genus	7	2732038	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	8	0.0	1	0.0	0.0
Alphabaculovirus	G	Genus	7	558016	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	27	0.0	1	0.0	0.0
Wizardvirus	G	Genus	7	2169658	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Betapleolipovirus	G	Genus	7	1911605	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Lazarusvirus	G	Genus	7	2842820	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Bosavirus	G	Genus	7	2946834	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Wbetavirus	G	Genus	7	1623308	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Bastillevirus	G	Genus	7	1918010	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Avastrovirus	G	Genus	7	249589	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	7	0.0	0	0	0.0	1	0.0	0.0
Sozzivirus	G	Genus	7	2843458	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	1	1	0.0	1	0.0	0.0
Sapovirus	G	Genus	7	95341	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	1	2012	0.08	0	0	0.0	1	0.08	0.08
Ripakub virus	S	Species	8	3130874	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	49	49	0.0	0	0	0.0	49	0.0	0.0
Carjivirus communis	S	Species	8	2955582	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	47	47	0.0	47	0.0	0.0
Tokyovirus A1	S	Species	8	1826170	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	43	43	0.0	43	0.0	0.0
Chronabum virus	S	Species	8	3129894	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	42	42	0.0	0	0	0.0	42	0.0	0.0
Chrocaryrb virus	S	Species	8	3129548	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	40	40	0.0	0	0	0.0	40	0.0	0.0
Ripaglac virus	S	Species	8	3130411	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	40	40	0.0	0	0	0.0	40	0.0	0.0
Adeno-associated virus	S	Species	8	272636	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	40	40	0.0	0	0	0.0	40	0.0	0.0
Ripomam virus	S	Species	8	3130190	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	39	39	0.0	0	0	0.0	39	0.0	0.0
Hainan alphaflexivirus 2	S	Species	8	2824425	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	36	36	0.0	0	0	0.0	36	0.0	0.0
Hydrurga leptonyx papillomavirus 3	S	Species	8	3053742	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	35	35	0.0	0	0	0.0	35	0.0	0.0
Ripakrisk virus	S	Species	8	3130842	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	32	32	0.0	0	0	0.0	32	0.0	0.0
Diaporthe negative-stranded RNA virus 1	S	Species	8	3035782	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	31	31	0.0	0	0	0.0	31	0.0	0.0
Bat rotavirus	S	Species	8	1340801	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	30	30	0.0	30	0.0	0.0
Chronadom virus	S	Species	8	3129803	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	28	28	0.0	0	0	0.0	28	0.0	0.0
Namao virus	S	Species	8	1302812	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	27	27	0.0	0	0	0.0	27	0.0	0.0
Sobelivirales sp.	S	Species	8	2809868	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	26	26	0.0	0	0	0.0	26	0.0	0.0
Chrocapint virus	S	Species	8	3129634	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	26	26	0.0	0	0	0.0	26	0.0	0.0
Ripadiz virus	S	Species	8	3130515	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	25	25	0.0	0	0	0.0	25	0.0	0.0
Qianjiang marna-like virus 162	S	Species	8	3347588	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	24	24	0.0	0	0	0.0	24	0.0	0.0
Human fecal virus Jorvi2	S	Species	8	2017081	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	5	5	0.0	22	22	0.0	22	0.0	0.0
Chronadern virus	S	Species	8	3129930	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	21	21	0.0	0	0	0.0	21	0.0	0.0
Ripachaz virus	S	Species	8	3130383	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	21	21	0.0	0	0	0.0	21	0.0	0.0
Sugarcane mild mosaic virus	S	Species	8	126071	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	21	21	0.0	0	0	0.0	21	0.0	0.0
Rhizoctonia cerealis duamitovirus	S	Species	8	3068666	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	20	20	0.0	0	0	0.0	20	0.0	0.0
Ripakryf virus	S	Species	8	3130858	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	19	19	0.0	0	0	0.0	19	0.0	0.0
Ripatris virus	S	Species	8	3131522	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	18	18	0.0	0	0	0.0	18	0.0	0.0
Durnavirales sp.	S	Species	8	2809355	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	18	18	0.0	0	0	0.0	18	0.0	0.0
Ripafren virus	S	Species	8	3130475	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	18	18	0.0	0	0	0.0	18	0.0	0.0
ticpantry virus 7	S	Species	8	3003954	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	18	18	0.0	0	0	0.0	18	0.0	0.0
Feline astrovirus 2	S	Species	8	1389204	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	17	17	0.0	17	0.0	0.0
Sopaded virus	S	Species	8	3131761	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	17	17	0.0	0	0	0.0	17	0.0	0.0
Eidolon dupreanum sapovirus 3	S	Species	8	3153944	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	16	16	0.0	0	0	0.0	16	0.0	0.0
Ripathug virus	S	Species	8	3131450	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	16	16	0.0	0	0	0.0	16	0.0	0.0
Kobuvirus sp.	S	Species	8	2094719	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	16	16	0.0	0	0	0.0	16	0.0	0.0
Ripagrom virus	S	Species	8	3130725	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	16	16	0.0	0	0	0.0	16	0.0	0.0
Ripachij virus	S	Species	8	3130407	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	15	15	0.0	0	0	0.0	15	0.0	0.0
Ripatirn virus	S	Species	8	3130065	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	15	15	0.0	0	0	0.0	15	0.0	0.0
Human astrovirus UK1	S	Species	8	1570321	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	15	15	0.0	0	0	0.0	15	0.0	0.0
Sichuan orthohepevirus	S	Species	8	2824490	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	14	14	0.0	0	0	0.0	14	0.0	0.0
Picobirnavirus HK-2014	S	Species	8	1566334	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	14	14	0.0	0	0	0.0	14	0.0	0.0
Astrovirus Er/SZAL6/HUN/2011	S	Species	8	1671382	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	13	13	0.0	13	0.0	0.0
Ripazusk virus	S	Species	8	3130191	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	13	13	0.0	0	0	0.0	13	0.0	0.0
Human rotavirus	S	Species	8	1906931	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	12	0.0	0	0	0.0	12	0.0	0.0
Mongoose picobirnavirus	S	Species	8	2684263	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	12	0.0	0	0	0.0	12	0.0	0.0
Kobuvirus aichi	S	Species	8	72149	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	251	0.01	0	0	0.0	12	0.01	0.01
Astrovirus MLB2	S	Species	8	683172	Low	5	BothDB-LowReads(<50)	Yes	Yes	Yes	2	2	0.0	12	12	0.0	12	0.0	0.0
Fox fecal picobirnavirus	S	Species	8	1504556	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	12	0.0	0	0	0.0	12	0.0	0.0
Sugarcane bacilliform virus	S	Species	8	12435	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	12	0.0	0	0	0.0	12	0.0	0.0
Zea mays	S	Species	8	4577	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	12	12	0.0	0	0	0.0	12	0.0	0.0
Elemess virus	S	Species	8	2800913	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	11	11	0.0	0	0	0.0	11	0.0	0.0
Hepacivirus hominis	S	Species	8	3052230	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	11	21	0.0	0	0	0.0	11	0.0	0.0
Sichuan orthomyxo-like virus 1	S	Species	8	2933244	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	11	11	0.0	0	0	0.0	11	0.0	0.0
Cytomegalovirus humanbeta5	S	Species	8	3050295	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	10	227	0.01	0	0	0.0	10	0.01	0.01
Ripazal virus	S	Species	8	3130003	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	10	10	0.0	0	0	0.0	10	0.0	0.0
Mollivirus shaoxing	S	Species	8	3402185	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	10	10	0.0	0	0	0.0	10	0.0	0.0
Mouse kobuvirus M-5/USA/2010	S	Species	8	1074213	Low	5	NCBIOnly-LowReads(<50)	No	No	Yes	0	0	0.0	9	9	0.0	9	0.0	0.0
Human fecal virus Tarto	S	Species	8	2017080	Low	5	RVDBOnly-LowReads(<50)	No	Yes	No	9	9	0.0	0	0	0.0	9	0.0	0.0
